store_id,latitude,longitude,address,rating,distance,review_count,name
7LGZNBNxWyUnTvjfW_XtGg,45.51692621,-73.56425732,1237 Rue Atateken,5,667.5890486,11,Resto Keela
vuEpfCVR-JmaATL8RNRW_Q,45.51692621,-73.56425732,1206 Boulevard de Maisonneuve E,5,582.266801,11,Bouffe Dave Plant Food
roiPsRWNjqJkleVXHE741A,45.51692621,-73.56425732,852 Rue Sainte-Catherine E,5,486.1477618,60,Café Lulu
4Np58XWR1QfCSTbX3RSE3g,45.51692621,-73.56425732,2073 Rue Saint-Denis,5,164.0807167,8,Le Psy Bar
VVV89kpBUChYIss3Qm4ZTQ,45.51692621,-73.56425732,1657 Rue Saint-Denis,5,193.0302275,4,Biscotti e Cucina
VPfSbgu0odpTvqndSX7mRg,45.51692621,-73.56425732,80 Rue Prince-Arthur E,5,634.7796992,52,Dyad
CrsbO0pzNWliL8l0Vng6zw,45.51692621,-73.56425732,921 Rue Rachel E,4.5,1240.271052,14,Izu Sushi
qcdmm6DMl7TV1kqnyhL32w,45.51692621,-73.56425732,851 Rue Rachel E,4.5,1227.102668,38,Le Virunga
St6h2WGJBSktsgW_x-piIQ,45.51692621,-73.56425732,405B Rue Sherbrooke E,4.5,268.2694861,10,Sparta
IvTZ8a33Xq4PWMLa9py42w,45.51692621,-73.56425732,3717 Rue Saint-Urbain,4.5,962.34204,9,6 Green Banana
mniDh2RoXlN9l0g-B6-W-g,45.51692621,-73.56425732,1212 Boulevard de Maisonneuve E,4.5,577.7035433,69,En Couleur
nsjAp-_9ng8TeJEQ1xBkJQ,45.51692621,-73.56425732,30 Rue Sainte-Catherine O,4.5,804.7322687,6,Pintxo
F8jf-xPsdTEENyrzLIcqnA,45.51692621,-73.56425732,3443 Rue Saint-Denis,4.5,317.7553279,66,La Demande Générale
um_o0pxQ3DlRI9EfCzw0hw,45.51692621,-73.56425732,1595 Boulevard Saint-Laurent,4.5,663.2137475,486,Bouillon Bilk
avF490B4MfuWn24R1Rz2zA,45.51293324,-73.63389015,7153 Chemin de la Côte-des-Neiges,5,1040.457107,17,Phnom Penh
Nfovc-aKljzls-yDYfU2LQ,45.51293324,-73.63389015,2787 Avenue Van Horne,4.5,792.9232229,12,Sushi Q
b7kc_NnAz_hjojRmPb2Eow,45.51293324,-73.63389015,1275 Chemin Dunkirk,4.5,831.6712339,16,Pizzaiolle Mont-Royal
qysXYBPIx9u2l9ckPJ2Otg,45.51293324,-73.63389015,6690 Avenue Darlington,5,475.3860753,1,Maison Heureuse
tvNBuToE7-p81bn8MUG2MA,45.51293324,-73.63389015,2647 Avenue Van Horne,5,840.9619184,1,Sushi QnQ
13mr4q_3U4uxiiQJ--G29A,45.51293324,-73.63389015,60 Avenue Roosevelt,5,597.3260807,1,Centre des Loisirs de Ville Mont-Royal
oJ4Ea1gvri18pLvDDnQziQ,45.51293324,-73.63389015,6690 Avenue de Darlington,5,475.3860753,1,Restaurant Sing Fai
