latitude,longitude,nbr of bikes,station name,city,company name
45.49750375338383,-73.55284452438353,19,de la Commune / King,"Montréal, QC","Motivate International, Inc."
45.50761009451047,-73.55183601379395,5,de la Commune / Place Jacques-Cartier,"Montréal, QC","Motivate International, Inc."
45.50424245563397,-73.553469479084,1,de la Commune / St-Sulpice,"Montréal, QC","Motivate International, Inc."
45.53830765459552,-73.6548838019371,10,Chabanel / du Parc,"Montréal, QC","Motivate International, Inc."
45.48972725318433,-73.56406286358833,11,Ottawa / William,"Montréal, QC","Motivate International, Inc."
45.51086,-73.54983,20,de la Commune / Berri,"Montréal, QC","Motivate International, Inc."
45.45998577640931,-73.54395568370819,12,Berlioz / de l'Île des Soeurs,"Montréal, QC","Motivate International, Inc."
45.46693565237702,-73.63153114914894,16,Parc Benny (Benny / de Monkland),"Montréal, QC","Motivate International, Inc."
45.502386079583346,-73.57333794236183,0,de Maisonneuve / Mansfield (nord),"Montréal, QC","Motivate International, Inc."
45.43605512104547,-73.60577523708344,1,Cégep André-Laurendeau (Lapierre),"Montréal, QC","Motivate International, Inc."
45.55675103297278,-73.66716161370277,15,Métro Henri-Bourassa (Henri-Bourassa / Millen),"Montréal, QC","Motivate International, Inc."
45.44338026469991,-73.71789157390594,2,Dixie / 54e avenue,"Montréal, QC","Motivate International, Inc."
45.41774583815495,-73.64518761634827,11,LaSalle / 90e avenue,"Montréal, QC","Motivate International, Inc."
45.5604898518365,-73.7091851234436,2,Métro de la Concorde (Léo-Lacombe),"Montréal, QC","Motivate International, Inc."
45.527831544563064,-73.5719096660614,22,Calixa-Lavallée / Rachel,"Montréal, QC","Motivate International, Inc."
45.59833498124187,-73.54596734046936,1,Parc du Mail (Bois de Coulonges / du Mail),"Montréal, QC","Motivate International, Inc."
45.53519006163501,-73.61548215150833,11,Marché Jean-Talon (Casgrain / Shamrock),"Montréal, QC","Motivate International, Inc."
45.497722829899764,-73.61925333738327,9,HEC (Decelles / Jean-Brillant),"Montréal, QC","Motivate International, Inc."
45.53330725719417,-73.62082242965698,11,Fabrik8 (Waverly / Jean-Talon),"Montréal, QC","Motivate International, Inc."
45.5839877335556,-73.60809333622456,4,Parc Courbertin (Valéry / Perrier),"Montréal, QC","Motivate International, Inc."
45.57237805962001,-73.59370462596415,14,Parc Hébert (Colbert / Provencher),"Montréal, QC","Motivate International, Inc."
45.586476480180046,-73.570396900177,11,Parc Garibaldi (Liénart / Bélanger),"Montréal, QC","Motivate International, Inc."
45.60835820969716,-73.63850623369217,9,Parc Aimé-Léonard (Gouin / Ste-Gertrude),"Montréal, QC","Motivate International, Inc."
45.59953472156509,-73.62360253930092,4,Parc Charleroi (Alfred / Louis-Francoeur),"Montréal, QC","Motivate International, Inc."
45.5877138098252,-73.63171823322773,10,Parc Maurice-Bélanger (Hébert / Denommée),"Montréal, QC","Motivate International, Inc."
45.583197821913785,-73.62978704273701,9,Gare St-Michel / Montréal-Nord (Pie-IX / 56e),"Montréal, QC","Motivate International, Inc."
45.51401222645779,-73.56598667800426,11,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),"Montréal, QC","Motivate International, Inc."
